rank,title,year,rating,rating_count,genre_text,country_text,cluster,cluster_profile
1,肖申克的救赎,1994,9.7,3298535,犯罪 / 剧情,美国,2,欧美剧情经典片
2,霸王别姬,1993,9.6,2434082,剧情 / 爱情 / 同性,中国大陆 / 中国香港,3,华语剧情高口碑片
3,泰坦尼克号,1997,9.5,2509821,剧情 / 爱情 / 灾难,美国,2,欧美剧情经典片
4,阿甘正传,1994,9.5,2439595,剧情 / 爱情,美国,2,欧美剧情经典片
5,千与千寻,2001,9.4,2548105,剧情 / 动画 / 奇幻,日本,0,动画奇幻与冒险片
6,星际穿越,2014,9.4,2196233,剧情 / 科幻 / 冒险,美国 / 英国 / 加拿大,0,动画奇幻与冒险片
7,美丽人生,1997,9.5,1487921,剧情 / 喜剧 / 爱情 / 战争,意大利,2,欧美剧情经典片
8,这个杀手不太冷,1994,9.4,2560665,剧情 / 动作 / 犯罪,法国 / 美国,2,欧美剧情经典片
9,盗梦空间,2010,9.4,2334656,剧情 / 科幻 / 悬疑 / 冒险,美国 / 英国,1,悬疑惊悚与犯罪片
10,楚门的世界,1998,9.4,2029693,剧情 / 科幻,美国,2,欧美剧情经典片
11,辛德勒的名单,1993,9.5,1251754,剧情 / 历史 / 战争,美国,2,欧美剧情经典片
12,忠犬八公的故事,2009,9.4,1548873,剧情,美国 / 英国,2,欧美剧情经典片
13,海上钢琴师,1998,9.3,1886630,剧情 / 音乐,意大利,2,欧美剧情经典片
14,疯狂动物城,2016,9.3,2332315,喜剧 / 动画 / 冒险,美国,0,动画奇幻与冒险片
15,三傻大闹宝莱坞,2009,9.2,2086478,剧情 / 喜剧 / 爱情 / 歌舞,印度,2,欧美剧情经典片
16,机器人总动员,2008,9.3,1500538,科幻 / 动画 / 冒险,美国,0,动画奇幻与冒险片
17,放牛班的春天,2004,9.3,1479733,剧情 / 音乐,法国 / 瑞士 / 德国,2,欧美剧情经典片
18,无间道,2002,9.3,1572720,剧情 / 犯罪 / 惊悚,中国香港,1,悬疑惊悚与犯罪片
19,控方证人,1957,9.6,749474,剧情 / 犯罪 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
20,寻梦环游记,2017,9.1,2001601,喜剧 / 动画 / 奇幻 / 音乐,美国,0,动画奇幻与冒险片
21,大话西游之大圣娶亲,1995,9.2,1716005,喜剧 / 爱情 / 奇幻 / 古装,中国香港 / 中国大陆,3,华语剧情高口碑片
22,熔炉,2011,9.3,1039678,剧情,韩国,2,欧美剧情经典片
23,触不可及,2011,9.3,1302103,剧情 / 喜剧,法国,2,欧美剧情经典片
24,教父,1972,9.3,1112889,剧情 / 犯罪,美国,2,欧美剧情经典片
25,末代皇帝,1987,9.3,1034153,剧情 / 传记 / 历史,英国 / 意大利 / 中国大陆 / 法国,2,欧美剧情经典片
26,哈利·波特与魔法石,2001,9.2,1430807,奇幻 / 冒险,美国 / 英国,0,动画奇幻与冒险片
27,当幸福来敲门,2006,9.1,1694809,剧情 / 传记 / 家庭,美国,2,欧美剧情经典片
28,龙猫,1988,9.2,1417007,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
29,活着,1994,9.3,975370,剧情 / 历史 / 家庭,中国大陆 / 中国香港,3,华语剧情高口碑片
30,怦然心动,2010,9.1,2059985,剧情 / 喜剧 / 爱情,美国,2,欧美剧情经典片
31,蝙蝠侠：黑暗骑士,2008,9.2,1198138,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国 / 英国,1,悬疑惊悚与犯罪片
32,指环王3：王者无敌,2003,9.3,914935,剧情 / 动作 / 奇幻 / 冒险,美国 / 新西兰,0,动画奇幻与冒险片
33,我不是药神,2018,9.0,2360315,剧情 / 喜剧,中国大陆,3,华语剧情高口碑片
34,乱世佳人,1939,9.3,800346,剧情 / 历史 / 爱情 / 战争,美国,2,欧美剧情经典片
35,让子弹飞,2010,9.0,1928503,剧情 / 喜剧 / 动作 / 西部,中国大陆 / 中国香港,3,华语剧情高口碑片
36,飞屋环游记,2009,9.1,1508122,剧情 / 喜剧 / 动画 / 冒险,美国,0,动画奇幻与冒险片
37,哈尔的移动城堡,2004,9.1,1299412,爱情 / 动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
38,十二怒汉,1957,9.4,582501,剧情,美国,2,欧美剧情经典片
39,海蒂和爷爷,2015,9.3,789280,剧情 / 冒险 / 家庭,德国 / 瑞士,2,欧美剧情经典片
40,素媛,2013,9.3,780021,剧情,韩国,2,欧美剧情经典片
41,猫鼠游戏,2002,9.1,1218442,传记 / 犯罪 / 剧情,美国 / 加拿大,2,欧美剧情经典片
42,天空之城,1986,9.2,1013867,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
43,鬼子来了,2000,9.3,719063,剧情 / 喜剧,中国大陆,3,华语剧情高口碑片
44,摔跤吧！爸爸,2016,9.0,1753571,剧情 / 传记 / 运动 / 家庭,印度,2,欧美剧情经典片
45,少年派的奇幻漂流,2012,9.1,1495215,剧情 / 奇幻 / 冒险,美国 / 中国台湾 / 英国 / 加拿大,0,动画奇幻与冒险片
46,钢琴家,2002,9.3,754155,剧情 / 传记 / 战争 / 音乐,英国 / 法国 / 波兰 / 德国 / 美国,2,欧美剧情经典片
47,死亡诗社,1989,9.2,890046,剧情,美国,2,欧美剧情经典片
48,指环王2：双塔奇兵,2002,9.2,861849,剧情 / 动作 / 奇幻 / 冒险,美国 / 新西兰,0,动画奇幻与冒险片
49,大话西游之月光宝盒,1995,9.0,1371832,喜剧 / 爱情 / 奇幻 / 古装,中国香港 / 中国大陆,3,华语剧情高口碑片
50,绿皮书,2018,8.9,1902749,剧情 / 喜剧 / 传记 / 音乐,美国 / 中国大陆,3,华语剧情高口碑片
51,何以为家,2018,9.1,1166888,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,2,欧美剧情经典片
52,闻香识女人,1992,9.1,1028610,剧情,美国,2,欧美剧情经典片
53,大闹天宫,1961,9.4,513004,1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 / 动画 / 奇幻 / 古装,(中国大陆),0,动画奇幻与冒险片
54,黑客帝国,1999,9.1,955858,动作 / 科幻,美国,0,动画奇幻与冒险片
55,指环王1：护戒使者,2001,9.1,965186,剧情 / 动作 / 奇幻 / 冒险,新西兰 / 美国 / 英国,0,动画奇幻与冒险片
56,罗马假日,1953,9.1,1052601,喜剧 / 剧情 / 爱情,美国,2,欧美剧情经典片
57,教父2,1974,9.3,644232,剧情 / 犯罪,美国,2,欧美剧情经典片
58,狮子王,1994,9.1,966013,动画 / 冒险 / 歌舞,美国,0,动画奇幻与冒险片
59,天堂电影院,1988,9.2,744511,剧情 / 爱情,意大利 / 法国,2,欧美剧情经典片
60,饮食男女,1994,9.2,730830,剧情 / 家庭,中国台湾 / 美国,2,欧美剧情经典片
61,辩护人,2013,9.2,660591,剧情,韩国,2,欧美剧情经典片
62,本杰明·巴顿奇事,2008,9.0,1110555,剧情 / 爱情 / 奇幻,美国,2,欧美剧情经典片
63,搏击俱乐部,1999,9.0,982106,剧情 / 动作 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
64,美丽心灵,2001,9.1,856956,传记 / 剧情,美国,2,欧美剧情经典片
65,穿条纹睡衣的男孩,2008,9.2,645090,剧情 / 战争,英国 / 美国,2,欧美剧情经典片
66,哈利·波特与死亡圣器(下),2011,9.0,976352,奇幻 / 冒险,美国 / 英国,0,动画奇幻与冒险片
67,两杆大烟枪,1998,9.1,682108,剧情 / 喜剧 / 犯罪,英国,2,欧美剧情经典片
68,情书,1995,8.9,1333804,剧情 / 爱情,日本,2,欧美剧情经典片
69,窃听风暴,2006,9.2,635216,剧情 / 悬疑,德国,2,欧美剧情经典片
70,功夫,2004,8.9,1345471,动作 / 喜剧 / 犯罪 / 奇幻,中国大陆 / 中国香港,3,华语剧情高口碑片
71,音乐之声,1965,9.1,687832,剧情 / 传记 / 爱情 / 歌舞,美国,2,欧美剧情经典片
72,哈利·波特与阿兹卡班的囚徒,2004,9.0,897169,奇幻 / 冒险,英国 / 美国,0,动画奇幻与冒险片
73,阿凡达,2009,8.8,1593283,动作 / 科幻 / 冒险,美国,0,动画奇幻与冒险片
74,西西里的美丽传说,2000,8.9,1098421,剧情 / 战争 / 情色,意大利 / 美国,2,欧美剧情经典片
75,看不见的客人,2016,8.8,1448740,剧情 / 犯罪 / 悬疑 / 惊悚,西班牙,1,悬疑惊悚与犯罪片
76,拯救大兵瑞恩,1998,9.1,729323,剧情 / 战争,美国,2,欧美剧情经典片
77,沉默的羔羊,1991,8.9,1022239,剧情 / 犯罪 / 惊悚,美国,1,悬疑惊悚与犯罪片
78,小鞋子,1997,9.2,470217,剧情 / 儿童 / 家庭,伊朗,2,欧美剧情经典片
79,蝴蝶效应,2004,8.9,1074766,剧情 / 悬疑 / 科幻 / 惊悚,美国 / 加拿大,1,悬疑惊悚与犯罪片
80,布达佩斯大饭店,2014,8.9,1091967,剧情 / 喜剧 / 冒险,美国 / 德国 / 英国,2,欧美剧情经典片
81,还有明天,2023,9.3,380089,剧情 / 喜剧 / 历史,意大利,2,欧美剧情经典片
82,飞越疯人院,1975,9.1,608634,剧情,美国,2,欧美剧情经典片
83,禁闭岛,2010,8.9,1121056,剧情 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
84,心灵捕手,1997,9.0,819911,剧情,美国,2,欧美剧情经典片
85,致命魔术,2006,8.9,969450,剧情 / 悬疑 / 惊悚,英国 / 美国,1,悬疑惊悚与犯罪片
86,低俗小说,1994,8.9,965923,剧情 / 喜剧 / 犯罪,美国,2,欧美剧情经典片
87,哈利·波特与密室,2002,8.9,923831,奇幻 / 冒险,英国 / 美国,0,动画奇幻与冒险片
88,一一,2000,9.1,518872,剧情 / 爱情 / 家庭,中国台湾 / 日本,2,欧美剧情经典片
