rank,title,year,rating,rating_count,country
1,肖申克的救赎,1994,9.7,3298535,美国
2,霸王别姬,1993,9.6,2434082,中国大陆
2,霸王别姬,1993,9.6,2434082,中国香港
3,泰坦尼克号,1997,9.5,2509821,美国
4,阿甘正传,1994,9.5,2439595,美国
5,千与千寻,2001,9.4,2548105,日本
6,星际穿越,2014,9.4,2196233,美国
6,星际穿越,2014,9.4,2196233,英国
6,星际穿越,2014,9.4,2196233,加拿大
7,美丽人生,1997,9.5,1487921,意大利
8,这个杀手不太冷,1994,9.4,2560665,法国
8,这个杀手不太冷,1994,9.4,2560665,美国
9,盗梦空间,2010,9.4,2334656,美国
9,盗梦空间,2010,9.4,2334656,英国
10,楚门的世界,1998,9.4,2029693,美国
11,辛德勒的名单,1993,9.5,1251754,美国
12,忠犬八公的故事,2009,9.4,1548873,美国
12,忠犬八公的故事,2009,9.4,1548873,英国
13,海上钢琴师,1998,9.3,1886630,意大利
14,疯狂动物城,2016,9.3,2332315,美国
15,三傻大闹宝莱坞,2009,9.2,2086478,印度
16,机器人总动员,2008,9.3,1500538,美国
17,放牛班的春天,2004,9.3,1479733,法国
17,放牛班的春天,2004,9.3,1479733,瑞士
17,放牛班的春天,2004,9.3,1479733,德国
18,无间道,2002,9.3,1572720,中国香港
19,控方证人,1957,9.6,749474,美国
20,寻梦环游记,2017,9.1,2001601,美国
21,大话西游之大圣娶亲,1995,9.2,1716005,中国香港
21,大话西游之大圣娶亲,1995,9.2,1716005,中国大陆
22,熔炉,2011,9.3,1039678,韩国
23,触不可及,2011,9.3,1302103,法国
24,教父,1972,9.3,1112889,美国
25,末代皇帝,1987,9.3,1034153,英国
25,末代皇帝,1987,9.3,1034153,意大利
25,末代皇帝,1987,9.3,1034153,中国大陆
25,末代皇帝,1987,9.3,1034153,法国
26,哈利·波特与魔法石,2001,9.2,1430807,美国
26,哈利·波特与魔法石,2001,9.2,1430807,英国
27,当幸福来敲门,2006,9.1,1694809,美国
28,龙猫,1988,9.2,1417007,日本
29,活着,1994,9.3,975370,中国大陆
29,活着,1994,9.3,975370,中国香港
30,怦然心动,2010,9.1,2059985,美国
31,蝙蝠侠：黑暗骑士,2008,9.2,1198138,美国
31,蝙蝠侠：黑暗骑士,2008,9.2,1198138,英国
32,指环王3：王者无敌,2003,9.3,914935,美国
32,指环王3：王者无敌,2003,9.3,914935,新西兰
33,我不是药神,2018,9.0,2360315,中国大陆
34,乱世佳人,1939,9.3,800346,美国
35,让子弹飞,2010,9.0,1928503,中国大陆
35,让子弹飞,2010,9.0,1928503,中国香港
36,飞屋环游记,2009,9.1,1508122,美国
37,哈尔的移动城堡,2004,9.1,1299412,日本
38,十二怒汉,1957,9.4,582501,美国
39,海蒂和爷爷,2015,9.3,789280,德国
39,海蒂和爷爷,2015,9.3,789280,瑞士
40,素媛,2013,9.3,780021,韩国
41,猫鼠游戏,2002,9.1,1218442,美国
41,猫鼠游戏,2002,9.1,1218442,加拿大
42,天空之城,1986,9.2,1013867,日本
