rank,title,year,rating,rating_count,genre
1,肖申克的救赎,1994,9.7,3298535,犯罪
1,肖申克的救赎,1994,9.7,3298535,剧情
2,霸王别姬,1993,9.6,2434082,剧情
2,霸王别姬,1993,9.6,2434082,爱情
2,霸王别姬,1993,9.6,2434082,同性
3,泰坦尼克号,1997,9.5,2509821,剧情
3,泰坦尼克号,1997,9.5,2509821,爱情
3,泰坦尼克号,1997,9.5,2509821,灾难
4,阿甘正传,1994,9.5,2439595,剧情
4,阿甘正传,1994,9.5,2439595,爱情
5,千与千寻,2001,9.4,2548105,剧情
5,千与千寻,2001,9.4,2548105,动画
5,千与千寻,2001,9.4,2548105,奇幻
6,星际穿越,2014,9.4,2196233,剧情
6,星际穿越,2014,9.4,2196233,科幻
6,星际穿越,2014,9.4,2196233,冒险
7,美丽人生,1997,9.5,1487921,剧情
7,美丽人生,1997,9.5,1487921,喜剧
7,美丽人生,1997,9.5,1487921,爱情
7,美丽人生,1997,9.5,1487921,战争
8,这个杀手不太冷,1994,9.4,2560665,剧情
8,这个杀手不太冷,1994,9.4,2560665,动作
8,这个杀手不太冷,1994,9.4,2560665,犯罪
9,盗梦空间,2010,9.4,2334656,剧情
9,盗梦空间,2010,9.4,2334656,科幻
9,盗梦空间,2010,9.4,2334656,悬疑
9,盗梦空间,2010,9.4,2334656,冒险
10,楚门的世界,1998,9.4,2029693,剧情
10,楚门的世界,1998,9.4,2029693,科幻
11,辛德勒的名单,1993,9.5,1251754,剧情
11,辛德勒的名单,1993,9.5,1251754,历史
11,辛德勒的名单,1993,9.5,1251754,战争
12,忠犬八公的故事,2009,9.4,1548873,剧情
13,海上钢琴师,1998,9.3,1886630,剧情
13,海上钢琴师,1998,9.3,1886630,音乐
14,疯狂动物城,2016,9.3,2332315,喜剧
14,疯狂动物城,2016,9.3,2332315,动画
14,疯狂动物城,2016,9.3,2332315,冒险
15,三傻大闹宝莱坞,2009,9.2,2086478,剧情
15,三傻大闹宝莱坞,2009,9.2,2086478,喜剧
15,三傻大闹宝莱坞,2009,9.2,2086478,爱情
15,三傻大闹宝莱坞,2009,9.2,2086478,歌舞
16,机器人总动员,2008,9.3,1500538,科幻
16,机器人总动员,2008,9.3,1500538,动画
16,机器人总动员,2008,9.3,1500538,冒险
17,放牛班的春天,2004,9.3,1479733,剧情
17,放牛班的春天,2004,9.3,1479733,音乐
18,无间道,2002,9.3,1572720,剧情
18,无间道,2002,9.3,1572720,犯罪
18,无间道,2002,9.3,1572720,惊悚
19,控方证人,1957,9.6,749474,剧情
19,控方证人,1957,9.6,749474,犯罪
19,控方证人,1957,9.6,749474,悬疑
19,控方证人,1957,9.6,749474,惊悚
20,寻梦环游记,2017,9.1,2001601,喜剧
20,寻梦环游记,2017,9.1,2001601,动画
20,寻梦环游记,2017,9.1,2001601,奇幻
20,寻梦环游记,2017,9.1,2001601,音乐
21,大话西游之大圣娶亲,1995,9.2,1716005,喜剧
21,大话西游之大圣娶亲,1995,9.2,1716005,爱情
21,大话西游之大圣娶亲,1995,9.2,1716005,奇幻
21,大话西游之大圣娶亲,1995,9.2,1716005,古装
22,熔炉,2011,9.3,1039678,剧情
23,触不可及,2011,9.3,1302103,剧情
23,触不可及,2011,9.3,1302103,喜剧
24,教父,1972,9.3,1112889,剧情
24,教父,1972,9.3,1112889,犯罪
