rank,title,original_title,people_info,year,country_text,genre_text,rating,rating_count,quote,detail_url,source_url,fetched_at,decade
1,肖申克的救赎,The Shawshank Redemption,导演: 弗兰克·德拉邦特 Frank Darabont 主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 / 剧情,9.7,3298535,希望让人自由。,https://movie.douban.com/subject/1292052/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
2,霸王别姬,,导演: 陈凯歌 Kaige Chen 主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 / 中国香港,剧情 / 爱情 / 同性,9.6,2434082,风华绝代。,https://movie.douban.com/subject/1291546/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
3,泰坦尼克号,Titanic,导演: 詹姆斯·卡梅隆 James Cameron 主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 / 爱情 / 灾难,9.5,2509821,失去的才是永恒的。,https://movie.douban.com/subject/1292722/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
4,阿甘正传,Forrest Gump,导演: 罗伯特·泽米吉斯 Robert Zemeckis 主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 / 爱情,9.5,2439595,一部美国近现代史。,https://movie.douban.com/subject/1292720/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
5,千与千寻,千と千尋の神隠し,导演: 宫崎骏 Hayao Miyazaki 主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 / 动画 / 奇幻,9.4,2548105,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
6,星际穿越,Interstellar,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 马修·麦康纳 Matthew Mc...,2014,美国 / 英国 / 加拿大,剧情 / 科幻 / 冒险,9.4,2196233,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
7,美丽人生,La vita è bella,导演: 罗伯托·贝尼尼 Roberto Benigni 主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 / 喜剧 / 爱情 / 战争,9.5,1487921,最美的谎言。,https://movie.douban.com/subject/1292063/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
8,这个杀手不太冷,Léon,导演: 吕克·贝松 Luc Besson 主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 / 美国,剧情 / 动作 / 犯罪,9.4,2560665,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
9,盗梦空间,Inception,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国 / 英国,剧情 / 科幻 / 悬疑 / 冒险,9.4,2334656,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
10,楚门的世界,The Truman Show,导演: 彼得·威尔 Peter Weir 主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 / 科幻,9.4,2029693,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
11,辛德勒的名单,Schindler's List,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 连姆·尼森 Liam Neeson...,1993,美国,剧情 / 历史 / 战争,9.5,1251754,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
12,忠犬八公的故事,Hachi: A Dog's Tale,导演: 莱塞·霍尔斯道姆 Lasse Hallström 主演: 理查·基尔 Richard Ger...,2009,美国 / 英国,剧情,9.4,1548873,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
13,海上钢琴师,La leggenda del pianista sull'oceano,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 / 音乐,9.3,1886630,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,https://movie.douban.com/subject/1292001/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
14,疯狂动物城,Zootopia,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore 主演: 金妮弗·...,2016,美国,喜剧 / 动画 / 冒险,9.3,2332315,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
15,三傻大闹宝莱坞,3 Idiots,导演: 拉库马·希拉尼 Rajkumar Hirani 主演: 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 / 喜剧 / 爱情 / 歌舞,9.2,2086478,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
16,机器人总动员,WALL·E,导演: 安德鲁·斯坦顿 Andrew Stanton 主演: 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 / 动画 / 冒险,9.3,1500538,小瓦力，大人生。,https://movie.douban.com/subject/2131459/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
17,放牛班的春天,Les choristes,导演: 克里斯托夫·巴拉蒂 Christophe Barratier 主演: 让-巴蒂斯特·莫尼...,2004,法国 / 瑞士 / 德国,剧情 / 音乐,9.3,1479733,天籁一般的童声，是最接近上帝的存在。,https://movie.douban.com/subject/1291549/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
18,无间道,無間道,导演: 刘伟强 / 麦兆辉 主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 / 犯罪 / 惊悚,9.3,1572720,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2000
19,控方证人,Witness for the Prosecution,导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 / 犯罪 / 悬疑 / 惊悚,9.6,749474,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1950
20,寻梦环游记,Coco,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ...,2017,美国,喜剧 / 动画 / 奇幻 / 音乐,9.1,2001601,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
21,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 古装,9.2,1716005,一生所爱。,https://movie.douban.com/subject/1292213/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1990
22,熔炉,도가니,导演: 黄东赫 Dong-hyuk Hwang 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,9.3,1039678,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
23,触不可及,Intouchables,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主...,2011,法国,剧情 / 喜剧,9.3,1302103,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,2010
24,教父,The Godfather,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M...,1972,美国,剧情 / 犯罪,9.3,1112889,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1970
25,末代皇帝,The Last Emperor,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈...,1987,英国 / 意大利 / 中国大陆 / 法国,剧情 / 传记 / 历史,9.3,1034153,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,https://movie.douban.com/top250?start=0&filter=,2026-06-26T20:43:20+08:00,1980
26,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 / 英国,奇幻 / 冒险,9.2,1430807,童话世界的开端。,https://movie.douban.com/subject/1295038/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
27,当幸福来敲门,The Pursuit of Happyness,导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ...,2006,美国,剧情 / 传记 / 家庭,9.1,1694809,平民励志片。,https://movie.douban.com/subject/1849031/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
28,龙猫,となりのトトロ,导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 / 奇幻 / 冒险,9.2,1417007,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1980
29,活着,,导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 / 中国香港,剧情 / 历史 / 家庭,9.3,975370,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1990
30,怦然心动,Flipped,导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 / 喜剧 / 爱情,9.1,2059985,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
31,蝙蝠侠：黑暗骑士,The Dark Knight,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,2008,美国 / 英国,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,9.2,1198138,无尽的黑暗。,https://movie.douban.com/subject/1851857/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,9.3,914935,史诗的终章。,https://movie.douban.com/subject/1291552/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
33,我不是药神,,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 / 喜剧,9.0,2360315,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
34,乱世佳人,Gone with the Wind,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费...,1939,美国,剧情 / 历史 / 爱情 / 战争,9.3,800346,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1930
35,让子弹飞,,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 / 中国香港,剧情 / 喜剧 / 动作 / 西部,9.0,1928503,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
36,飞屋环游记,Up,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德...,2009,美国,剧情 / 喜剧 / 动画 / 冒险,9.1,1508122,最后那些最无聊的事情，才是最值得怀念的。,https://movie.douban.com/subject/2129039/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
